input_text,output_text
How much did my fleet idle last month?,Idling-Idling duration
how many Kilometers the vehicle name 1943 drive yesterday ?,Asset Utilization-vehicle distance
how many Kilometers the vehicle ID b412 drive last week ?,Asset Utilization-vehicle distance
how many Kilometers the vehicle ID b412 drive from July 16th to July 22nd ?,Trips-distance
What is the size of the MiniBulk Fleet?,Asset Monitoring and Groups-Company groups and sub groups
"How many trucks do we have in the group ""MiniBulk"" ?",Asset Monitoring and Groups-Company groups and sub groups
"How many trucks do we have in the group ""MiniBulk"" and how many stops is each of them doing per day in average ?","Asset Monitoring and Groups-Company groups and sub groups, Asset Utilization-Stop count"
"how many liters of fuel the trucks in this group ""London"" consume every hour in average (Data of last 3 months)?",Fuel and Energy Consumption-fuel usage
"What is the top 10 of the most used trucks in terms of distance and hours driven in the Group ""Ontario"" in 2022 vs 2023 ?",Asset Utilization-vehicle distance
"What is the top 10 of the most used trucks in terms of distance and hours driven in the Group ""Ontario"" from '2023-01-01' to '2023-06-30' ?",Asset Utilization-vehicle distance
what is the total distance in Kilometers of the group 'NON BULK' from '2023-07-01' to '2023-07-31' ?,Trips-group
what is the total distance in Kilometers per month of the group 'NON-BULK' in 2022 and 2023?,Asset Utilization-vehicle distance
"how many kilometers did the Groups 'MB-Ontario', 'MB-East' and 'MB-West' did per month in the last 3 months?",Asset Utilization-vehicle distance
How much did my fleet idle last month?,Idling-Idling duration
List my top 10 vehicles with lowest utilization over the past week? List from lowest to highest.,Asset Utilization-vehicle drive time
Which vehicle has idled the most over the past 3 weeks?,Idling-Idling duration
List my top 10 vehicles with lowest utilization over the past week? List from lowest to highest.,Asset Utilization-vehicle drive time
Which car manufacturers in my fleet have the best and worst fuel economy?,Fuel and Energy Consumption-fuel economy
How does my fleet compare to other similar fleets when it comes to idling?,Idling-Idling Exceptions
which equipment in my fleet consumed the most fuel last month,Fuel and Energy Consumption-fuel usage
what is the average fuel consumption of my fleet?,Fuel and Energy Consumption-fuel usage
which 5 vehicles in my fleet have had the most engine problems,Engine Faults-Fault counts
which 5 equipment in my fleet spent the most time on standby with the engine running last month?,Asset Utilization-vehicle drive time
which 5 equipment items in my fleet are most at risk of accidents due to the drivers' conduct,Safety-Predictive safety
between 01/07/2023 and 01/08/2023,Trips-start date
which 5 equipment items in my fleet are most at risk of accidents due to the drivers' conduct between 01/07/2023 and 01/08/2023,Safety-Predictive safety
which 5 equipment items in my fleet are most at risk of accidents  between 01/07/2023 and 01/08/2023,Safety-Predictive safety
voce responde em portugues,Device Health-Device communicating
por quanto tempo o equipamento TT18 operou com temperatura do motor acima de 90ºc este mês,Engine Faults-Engine measurements
"What is the total distance covered by our fleet this year, and how many lunar round-trips would that distance represent?",Asset Utilization-vehicle distance
How much did my fleet idle last month?,Idling-Idling duration
Which car manufacturers in my fleet have the best and worst fuel economy?,Fuel and Energy Consumption-fuel economy
which vehicle have the maximum speed in last week,Safety-max speed
How much did my fleet idle last month?,Idling-Idling duration
List the top 10 vehicles in my fleet ordered in decreasing driving distance. Also indicate the driving distances for these vehicles,Asset Utilization-vehicle distance
which of my vehicles are likely to breakdown in the next month and why are they likely to breakdown ? Let me know the steps of your reasoning,Engine Faults-Fault Exceptions
which trips in the past year had dangerous driving behaviour and why ?,"Safety-Safety exceptions including speeding, harsh breaking, acceleration seatbelt etc"
what's the maximum speed Peter Situ has ever driven at ?,Safety-max speed
